Frequency,AGE,MonthlyIncome
Monthly,49.0,35833.33
Monthly,23.0,666.67
Quatrly,39.0,45257.0
Monthly,24.0,20833.33
Monthly,56.0,27313.67
Monthly,40.0,42083.33
Monthly,23.0,46221.0
Monthly,41.0,46195.08
Monthly,51.0,15000.0
Monthly,33.0,31666.67
Monthly,34.0,75000.0
Half Yearly,20.0,83333.33
Monthly,52.0,46166.67
Monthly,51.0,50000.0
Monthly,45.0,116666.67
Quatrly,58.0,17000.0
Monthly,57.0,36844.17
Monthly,39.0,41666.67
Monthly,27.0,290000.0
Monthly,,
Monthly,29.0,22833.33
Monthly,35.0,116574.58
Monthly,26.0,13250.0
Monthly,43.0,25833.33
Quatrly,40.0,30583.33
Half Yearly,37.0,70833.33
Half Yearly,44.0,20833.33
Half Yearly,44.0,37500.0
Half Yearly,51.0,25000.0
Half Yearly,26.0,56366.67
Quatrly,21.0,55166.67
Half Yearly,36.0,29583.33
Quatrly,28.0,90833.33
Half Yearly,56.0,30083.33
Monthly,30.0,33333.33
Half Yearly,54.0,100000.0
Quatrly,49.0,41666.67
Quatrly,19.0,33333.33
Quatrly,44.0,30833.33
Quatrly,28.0,25000.0
Quatrly,32.0,50000.0
Quatrly,43.0,16666.67
Quatrly,36.0,20000.0
Quatrly,45.0,37500.0
Quatrly,50.0,35000.0
Quatrly,28.0,12500.0
Quatrly,28.0,41666.67
Quatrly,33.0,20833.33
Quatrly,51.0,41666.67
Quatrly,26.0,3333.33
Quatrly,53.0,54166.67
Quatrly,35.0,23333.33
Quatrly,44.0,26666.67
Quatrly,31.0,18333.33
Quatrly,32.0,8333.33
Quatrly,26.0,5833.33
Quatrly,40.0,33333.33
Quatrly,47.0,20833.33
Quatrly,39.0,16666.67
Quatrly,32.0,16666.67
Quatrly,30.0,12500.0
Quatrly,32.0,8333.33
Quatrly,45.0,50000.0
Quatrly,36.0,20833.33
Quatrly,40.0,25000.0
Quatrly,33.0,25000.0
Monthly,45.0,7500.0
Monthly,31.0,58333.33
Quatrly,31.0,58333.33
Quatrly,41.0,8333.33
Monthly,41.0,20833.33
Monthly,40.0,66666.67
Monthly,38.0,25000.0
Monthly,34.0,12835.0
Monthly,41.0,16666.67
Monthly,32.0,12500.0
Monthly,37.0,6666.67
Monthly,54.0,21916.67
Monthly,55.0,40000.0
Monthly,33.0,17500.0
Monthly,49.0,40000.0
Monthly,24.0,25000.0
Monthly,37.0,19166.67
Monthly,35.0,8333.33
Monthly,23.0,
Monthly,31.0,31666.67
Monthly,57.0,16666.67
Monthly,31.0,20833.33
Monthly,43.0,25000.0
Monthly,49.0,200000.0
Monthly,50.0,200000.0
Monthly,44.0,25000.0
Monthly,44.0,54166.67
Monthly,57.0,28250.0
Monthly,49.0,
Quatrly,58.0,29166.67
Quatrly,58.0,27500.0
Quatrly,40.0,33333.33
Monthly,,
Quatrly,35.0,25000.0
Quatrly,35.0,16666.67
Quatrly,30.0,16666.67
Quatrly,32.0,20833.33
Quatrly,31.0,18333.33
Quatrly,46.0,25000.0
Quatrly,60.0,8333.33
Quatrly,21.0,
Quatrly,41.0,24166.67
Quatrly,29.0,20833.33
